Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
TECHFRIO,HT-24INV,Split Hi-Wall,24000.0,1055.0,5.5
HQ,HQ-INV9000FHI / HQ-INV9000FHO,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDTD00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDTG00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-12TW2RLDTT00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-12TW2RLDDJ00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-18TW2RMADK02 / AS-18TW2RMA02,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-24TW2RBBTT03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
PIONEER,WA036GRFINV / AN036GRFINV,Split Hi-Wall,36000.0,1316.0,6.5
HISENSE,AS-24TW2RBWHB01 / AS-24TW2RBW01,Split Hi-Wall,24000.0,828.0,7.0
HISENSE,AS-22TW2RXTCK00 / AS-22TW2RXT00,Split Hi-Wall,24000.0,992.0,5.3
Agratto,LCST12QF-02I,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ICS12QF-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ZICST9QF-02,Split Hi-Wall,9000.0,311.0,7.0
AGRATTO,ZICST24QF-02,Split Hi-Wall,24000.0,830.0,7.0
AGRATTO,KNICST12QF-02,Split Hi-Wall,12000.0,414.0,7.0
AGRATTO,LCS24F - 02I,Split Hi-Wall,24000.0,1055.0,5.5
AGRATTO,ICS24F - 02,Split Hi-Wall,24000.0,1055.0,5.5
HQ,HQIT12F-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ICS12F-02,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,FICST12F-02I,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,ZICSTF12-02,Split Hi-Wall,12000.0,411.0,7.0
AGRATTO,KNICST24F- 02,Split Hi-Wall,24000.0,829.0,7.0
Midea,42AGVCC30M5 / 38AGVCC305,Split Hi-Wall,30000.0,1038.1,7.0
GREE,GWC24AGE-D3NNA2A,Split Hi-Wall,24000.0,1578.0,3.87
VG,VG02SFINV12INT / VG02SFINV12EXT,Split Hi-Wall,12000.0,538.0,5.5
VG,VG02SRINV18INT / VG02SRINV18EXT,Split Hi-Wall,18000.0,805.0,5.53
PSG,PSG02SFINV09INT / PSG02SFINV09EXT,Split Hi-Wall,9000.0,395.0,5.55
PSG,PSG02SRINV12INT / PSG02SRINV12EXT,Split Hi-Wall,12000.0,538.0,5.5
HISENSE,AS-30TW2RKKVT01 / 1KK030009ZNPW5678JM0004,Split Hi-Wall,30000.0,1220.0,5.5
TECHFRIO,HT-30INV,Split Hi-Wall,30000.0,1220.0,5.5
ARFRIOBOM,AFB01SHINV12INT - AFB01SHINV12EXT,Split Hi-Wall,12000.0,529.0,5.51
BRAVOLT,RC01BT-12KI (Evaporadora) / RC01BT-12KE (Condensadora),Split Hi-Wall,12000.0,491.0,5.75
CACEAIR,CACE02SFINV18INT / CACE02SFINV18EXT,Split Hi-Wall,18000.0,790.0,5.55
Elgin,HIFI24C2WA / HIFE24C2CA,Split Hi-Wall,24000.0,1018.0,5.5
Elgin,HIFI30C2WA / HIFE30C2CA,Split Hi-Wall,30000.0,1299.0,5.5
Elgin,HIFI36C2WA / HIFE36C2CA,Split Hi-Wall,36000.0,1558.0,5.5
Elgin,45HJFI12C2WC / 45HJFE12C2CC,Split Hi-Wall,12000.0,502.0,5.5
ELGIN,HJFI24C2WG/HJFE24C2CG,Split Hi-Wall,24000.0,830.0,7.0
ELGIN,HJFI12C2WD/HJFE12C2CD,Split Hi-Wall,12000.0,484.0,6.0
TOCHFRIO,TOFINV02F24INT / TOFINV02F24EXT,Split Hi-Wall,24000.0,768.0,7.58
KENNEDY,KEN01F09INT - KEN01F09EXT,Split Hi-Wall,9000.0,618.0,3.52
CONSUL,CBN22C/ CBO22C,Split Hi-Wall,22000.0,1697.0,3.14
Springer Midea,38AGVQB24M5 / 42AGVQB24M5,Split Hi-Wall,24000.0,1057.0,5.5
Midea,38AEVQA30M5 / 42AEVQA30M5,Split Hi-Wall,30000.0,956.0,7.6
Springer Midea,38AGVQC12M5 / 42AGVQC12M5,Split Hi-Wall,12000.0,453.0,6.41
Springer Midea,38AGVQC30M5 / 42AGVQC30M5,Split Hi-Wall,30000.0,1009.0,7.2
Springer Midea,38TVQC12S5 / 42AFVQH12S5,Split Hi-Wall,12000.0,528.0,5.5
Springer Midea,38TVQC22S5 / 42AFVQH22S5,Split Hi-Wall,22000.0,969.0,5.5
Springer Midea,38AGCA12M5 / 42AGCA12M5,Split Hi-Wall,12000.0,485.0,6.0
Springer Midea,38AFVCH12S8 / 42AFVCH12S8,Split Hi-Wall,12000.0,432.0,6.72
VIX,AS-12CR2SVEDK04.indoor / AS-12CR2SVEDK04.outdoor,Split Hi-Wall,12000.0,773.0,3.62
VIX,AS-18CR2SXADK03.indoor / AS-18CR2SXADK03.outdoor,Split Hi-Wall,18000.0,1130.0,3.67
VIX,AS-30CT2SDKDK04.indoor / AS-30CT2SDKDK04.outdoor,Split Hi-Wall,30000.0,1513.0,4.48
VIX,AS-09TW2RLDDK00.indoor / AS-09TW2RLDDK00.outdoor,Split Hi-Wall,9000.0,264.0,7.37
VIX,AS-09CR2SYDDK00_IDU / AS-09CR2SYDDK00_ODU,Split Hi-Wall,9000.0,595.0,3.21
AGRATTO,FACS30FR4- 02,Split Hi-Wall,30000.0,2072.0,3.5
MARA!,MARA02SQFINV24INT5 / MARA02SQFINV24EXT5,Split Hi-Wall,24000.0,1112.0,5.54
HQ,INV30000QFA,Split Hi-Wall,30000.0,1119.0,5.9
HQ,HQ-ONF9000FHI / HQ-ONF9000FHO,Split Hi-Wall,9000.0,653.0,3.14
HQ,HQ-ONF12000FHI / HQ-ONF12000FHO,Split Hi-Wall,12000.0,892.0,3.14
HQ,HQ-ONF18000FHI / HQ-ONF18000FHO,Split Hi-Wall,18000.0,1230.0,3.27
AIWA,AWS-AC-30F,Split Hi-Wall,30000.0,803.0,7.0
TCL,TAC-12CTG2-INV,Split Hi-Wall,12000.0,508.0,5.5
TRONOS,ASW-24G0E2 / QCR3DI-C0,Split Hi-Wall,24000.0,950.0,6.0
GREE,GWH09AGA-D3DNA4BW,Split Hi-Wall,9000.0,392.4,5.56
Gree,GWH09ATA-D6DNA2B,Split Hi-Wall,9000.0,396.4,5.42
Gree,GWH27ATE-D6DNA2A,Split Hi-Wall,27000.0,1025.6,6.26
Gree,GWH09ATA-D6DNA2C,Split Hi-Wall,9000.0,402.6,5.41
Gree,GWH18AUD-D6DNA1A,Split Hi-Wall,18000.0,726.0,6.0
Gree,GWH09AWBXB-D6DNA4B,Split Hi-Wall,9000.0,311.0,7.01
Gree,GWH18AWDXD-D6DNA4G,Split Hi-Wall,18000.0,622.0,7.01
Gree,GWH12AVCXB-D6DNA1D,Split Hi-Wall,12000.0,382.0,7.61
Gree,GWH18AVDXD-D6DNA1H,Split Hi-Wall,18000.0,573.0,7.61
Gree,GWH18ATD-D6DNA1AB,Split Hi-Wall,18000.0,726.0,6.01
SIMPLEY,CFSPL36IIS2BX - CFSPL36EIS2BX,Split Hi-Wall,36000.0,1530.0,5.7
SIMPLEY,CQSPL12IIS2AX - CQSPL12EIS2AX,Split Hi-Wall,12000.0,500.0,5.75
SIMPLEY,CQSPL24IIS2AX - CQSPL24EIS2AX,Split Hi-Wall,24000.0,1020.0,5.72
SIMPLEY,CQSPL36IIS2AX - CQSPL36EIS2AX,Split Hi-Wall,36000.0,1564.0,5.71
EOS,EAS9001IQFI - EAS9001IQFE,Split Hi-Wall,9000.0,380.0,5.72
EOS,EAS18001IQFI - EAS18001IQFE,Split Hi-Wall,18000.0,760.0,5.73
EOS,EAS9001IFI - EAS9001IFE,Split Hi-Wall,9000.0,380.0,5.72
EOS,EAS18001IFI - EAS18001IFE,Split Hi-Wall,18000.0,760.0,5.73
HQ,CQHQ24IIS2BX / CQHQ24EIS2BX,Split Hi-Wall,24000.0,1020.0,5.72
HQ,CFHQ12IIS2BX / CFHQ12EIS2BX,Split Hi-Wall,12000.0,500.0,5.75
MDX,VIMC18KCH3S2C23 / VIMC18KCH3S2E23,Split Hi-Wall,18000.0,760.0,5.73
MDX,VIMC24KCO3S2C13 / VIMC24KCO3S2E13,Split Hi-Wall,24000.0,1020.0,5.72
MDX,VIMC30KCO3S2C13 / VIMC30KCO3S2E13,Split Hi-Wall,30000.0,1256.0,5.77
HQ,VIHT24KCH3S2E23 / VIHT24KCH3S2E23,Split Hi-Wall,24000.0,1020.0,5.72
HQ,VIHT30KCH3S2E13 / VIHT30KCH3S2C13,Split Hi-Wall,30000.0,1256.0,5.77
HQ,VIHT36KCO3S2E23 / VIHT36KCO3S2C23,Split Hi-Wall,36000.0,1564.0,5.71
SAMSUNG,AR18CVHZAWKNAZ,Split Hi-Wall,18000.0,70.3,6.2
SAMSUNG,AR24BVFAAWKNAZ,Split Hi-Wall,22000.0,888.0,6.0
SAMSUNG,AR09CVHZAWKNAZ,Split Hi-Wall,10000.0,403.0,6.0
SAMSUNG,AR12CVFCABTNAZ,Split Hi-Wall,12000.0,485.0,6.0
PHILCO,PAC12000ITFM12W,Split Hi-Wall,12000.0,558.0,5.5
BRITÂNIA,BAC9000ITFM9W PROTECT,Split Hi-Wall,9000.0,454.0,5.5
BRITÂNIA,BAC9000ITFM9W,Split Hi-Wall,9000.0,454.0,5.5
ARMONY,ARM01IR18INT / ARM01IR18EXT,Split Hi-Wall,18000.0,791.0,5.53
SIMPLEY,CFSPL09IOS2BX - CFSPL09EOS2BX,Split Hi-Wall,9000.0,631.0,3.62
SIMPLEY,CFSPL12IOS1BX - CFSPL12EOS1BX,Split Hi-Wall,12000.0,901.0,3.74
EMMETI,CFEMT24IOS2BX - CFEMT24EOS2BX,Split Hi-Wall,24000.0,1526.0,3.57
EOS,EAS24000FI - EAS24000FE,Split Hi-Wall,24000.0,1526.0,3.57
MDX,VOMC9KCO4S2C11 / VOMC9KCO4S2E11,Split Hi-Wall,9000.0,631.0,3.62
HQ,VOHT9KCO4S2E13 / VOHT9KCO4S2C13,Split Hi-Wall,9000.0,631.0,3.62
HQ,VOHT12KCO4S2E13 / VOHT12KCO4S2C13,Split Hi-Wall,12000.0,826.0,3.55
PHILCO,PAC9000IFM15,Split Hi-Wall,9000.0,292.0,5.5
BRITÂNIA,BAC9000IFM15,Split Hi-Wall,9000.0,292.0,5.5
BRITÂNIA,BAC9000IQFM15,Split Hi-Wall,9000.0,369.0,5.5
PRIME AIR,PRIME AIR 9000ITQF2,Split Hi-Wall,9000.0,369.0,5.5
BENOIT,BENOÁ 9000QFI,Split Hi-Wall,9000.0,369.0,5.5
PHILCO,PAC24000IQFM15 / PAC24000IQFM15E,Split Hi-Wall,24000.0,833.0,5.5
EOS,EAS9000IQF2,Split Hi-Wall,9000.0,369.0,5.5
EOS,EAS30000IF2,Split Hi-Wall,30000.0,1229.0,5.5
PHILCO,PAC12QF,Split Hi-Wall,12000.0,470.0,5.5
SIMPLEY,CFSPL18IIS2BX - CFSPL18EIS2BX,Split Hi-Wall,18000.0,762.0,5.72
SIMPLEY,CFSPL30IIS2BX - CFSPL30EIS2BX,Split Hi-Wall,30000.0,1267.0,5.71
EMMETI,CFEMT12IIS2BX - CFEMT12EIS2BX,Split Hi-Wall,12000.0,508.0,5.73
SIMPLEY,CFSPL12IIS2BX - CFSPL12EIS2BX,Split Hi-Wall,12000.0,508.0,5.73
FONTAINE,FON02SFI24INT / FON02SFI24EXT,Split Hi-Wall,24000.0,850.0,7.1
FONTAINE,FCST9F - 01,Split Hi-Wall,9000.0,621.0,3.5
FONTAINE,FCST12F - 01,Split Hi-Wall,12000.0,829.0,3.5
TECHFRIO,TECH01F30INT - TECH01F30EXT,Split Hi-Wall,30000.0,2202.0,3.85
Elgin,HJQI09C2WB / HJQE09C2CB,Split Hi-Wall,9000.0,292.0,7.6
Elgin,HIQI24C2WA / HIQE24C2CA,Split Hi-Wall,24000.0,1082.0,5.51
ELGIN,HJQI09C2WG/HJQE09C2CG,Split Hi-Wall,9000.0,309.0,7.0
ELGIN,HJQI18C2WG/HJQE18C2CG,Split Hi-Wall,18000.0,627.0,7.0
ELGIN,HJQI30C2WG/HJQE30C2CG,Split Hi-Wall,30000.0,1038.0,7.0
Gree,GWH12UB-K3DNA4F,Split Hi-Wall,12000.0,412.4,7.05
Gree,GWC09ATAXA-D6DNA1D,Split Hi-Wall,9000.0,395.6,5.51
DAIKIN,FTHP09S5VL / RHP09S5VL,Split Hi-Wall,9000.0,262.6,8.3
DAIKIN,FTKP12S5VL / RKP12S5VL,Split Hi-Wall,12000.0,350.0,8.3
DAIKIN,FTHC24T5VL / RHC24T5VL,Split Hi-Wall,24000.0,830.2,7.0
DAIKIN,FTHC18T5VL / RHC18T5VL,Split Hi-Wall,18000.0,682.0,6.4
Midea,42AGVCI12M5/38AGVCI12M5,Split Hi-Wall,12000.0,484.4,6.0
Springer Midea,38TVCI18S5/42AFVCI18S5,Split Hi-Wall,18000.0,751.7,5.8
Springer Midea,38TVQI12S5/42AFVQI12S5,Split Hi-Wall,12000.0,510.0,5.7
Springer Midea,38TVCI12S5/42AFVCI12S5,Split Hi-Wall,12000.0,501.2,5.8
Midea,38EZVQA12M5 / 42EZVQA12M5,Split Hi-Wall,12000.0,382.5,7.6
Midea,38EZVCA09M5 / 42EZVCA09M5,Split Hi-Wall,9000.0,286.8,7.6
Midea,38TAVCA09M5 / 42EFVCA09M5,Split Hi-Wall,9000.0,311.4,7.0
Midea,38TAVCA18M5 / 42EFVCA18M5,Split Hi-Wall,18000.0,622.9,7.0
Midea,38EMVQA12M5 / 42EMVQA12M5,Split Hi-Wall,12000.0,382.5,7.6
Midea,38TAVCA22M5 / 42EFVCA22M5,Split Hi-Wall,22000.0,761.3,7.0
Fujitsu/Airstage,ASBG09KMBA/AOBG09KMCA,Split Hi-Wall,9000.0,265.0,8.22
Fujitsu/Airstage,ASBH27KMTA/AOBH27KMTA,Split Hi-Wall,27000.0,860.0,7.6
Fujitsu/Airstage,ASBH31KMTA/AOBH31KMTA,Split Hi-Wall,31000.0,988.0,7.6
Fujitsu/Airstage,ASBG24CMBA/AOBG24CMCA,Split Hi-Wall,24000.0,764.0,7.6
Fujitsu/Airstage,ASBH31CMTA/AOBH31CMTA,Split Hi-Wall,31000.0,98.8,7.6
TCL,TAC-18CSA1,Split Hi-Wall,18000.0,1238.0,3.52
TCL,TAC-12CHSA1,Split Hi-Wall,12000.0,795.0,3.66
TCL,TAC-24CHSA1,Split Hi-Wall,24000.0,1625.0,3.58
GREE,GWC12AGC-D3DNA4GW,Split Hi-Wall,12000.0,508.8,5.71
GREE,GWC18ATDXB-D3DNA1A,Split Hi-Wall,18000.0,607.4,7.62
GREE,GWC36ATEXF-S3DNA1A,Split Hi-Wall,36000.0,1368.0,6.37
GREE,GWC24QE-D3DNB8M,Split Hi-Wall,24000.0,45.6,3.24
GREE,GWC09ACA-D3DNA1A,Split Hi-Wall,9000.0,17.1,3.24
GREE,GWC12ACC-D3DNA1J,Split Hi-Wall,12000.0,541.7,5.8
GREE,GWC18ACD-D3DNA1B,Split Hi-Wall,18000.0,804.6,5.7
GREE,GWC09AGA-D3DNA4A,Split Hi-Wall,9000.0,395.7,5.51
GREE,GWC12AGC-D3DNA4J,Split Hi-Wall,12000.0,528.0,5.5
GREE,GWC18AGD-D3DNA4D,Split Hi-Wall,18000.0,751.9,5.8
Gree,GWC18ACD-D6DNA1C,Split Hi-Wall,18000.0,686.1,6.35
Gree,GWC12ATB-D6DNA2B,Split Hi-Wall,12000.0,536.4,5.41
Gree,GWC12AUC-D6DNA1B,Split Hi-Wall,12000.0,468.0,6.2
Gree,GWC18AUD-D6DNA1A,Split Hi-Wall,18000.0,726.0,6.0
Gree,GWC24AUD-D6DNA1A,Split Hi-Wall,24000.0,968.0,6.0
Gree,GWC27ATE-D6DNA4A,Split Hi-Wall,27000.0,1025.3,6.26
Gree,GWC09ATBXB-D6DNA3B,Split Hi-Wall,9000.0,311.0,7.01
Gree,GWC12AWCXB-D6DNA4C,Split Hi-Wall,12000.0,415.0,7.01
EOS,EAS24000IF,Split Hi-Wall,24000.0,1050.0,5.5
PHILCO,PAC30000IQFM8,Split Hi-Wall,30000.0,1172.0,6.2
PHILCO,PAC30000IQFM8W,Split Hi-Wall,30000.0,1172.0,6.2
PHILCO,PAC36000IQFM8W,Split Hi-Wall,36000.0,1405.0,6.2
LG,S3NW12JA31A+S3UW12JA31A,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NQ15JL31A+S3UQ15JL31A,Split Hi-Wall,15000.0,605.9,6.0
LG,S3NW12JAR7A+S3UW12JAR7A,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NQ09AA31B+S3UQ09AA31B,Split Hi-Wall,9000.0,330.1,6.6
LG,S3NQ12JA31B+S3UQ12JA31B,Split Hi-Wall,12000.0,461.7,6.3
LG,S3NQ09JA31E+S3UQ09JA31E,Split Hi-Wall,9000.0,363.4,6.0
LG,S3NW24K233C+S3UW24K233C,Split Hi-Wall,22000.0,833.0,6.4
LG,S3NW09AA31D+S3UW09AA31D,Split Hi-Wall,9000.0,363.4,6.0
LG,S3NQ090AKH0 + S3UQ090AKH0,Split Hi-Wall,9000.0,279.4,7.8
LG,S3NW090AKH0 + S3UW090AKH0,Split Hi-Wall,9000.0,279.4,7.8
LG,S3NQ09AA31F+S3UQ09AA31F,Split Hi-Wall,9000.0,311.2,7.0
LG,S3NQ12JAR1L+S3UQ12JAR1L,Split Hi-Wall,12000.0,415.2,7.0
LG,S3NQ18KLR1C+S3UQ18KLR1C,Split Hi-Wall,18000.0,622.6,7.0
LG,S3NW09AA33E+S3UW09AA33E,Split Hi-Wall,9000.0,311.6,7.0
LG,S3NW24K231D+S3UW24K231D,Split Hi-Wall,22000.0,761.1,7.0
LG,S3NW24K233D+S3UW24K233D,Split Hi-Wall,22000.0,761.1,7.0
Vertys,ASIIQ009A2WASV / ASIEQ009A2WASV,Split Hi-Wall,9000.0,275.0,8.54
Vertys,ASIIF012A2WASV / ASIEF012A2WASV,Split Hi-Wall,12000.0,386.0,7.26
Vertys,ASIIF030A2WASV / ASIEF030A2WASV,Split Hi-Wall,30000.0,1019.0,7.03
Vertys,ASIIQ030A2WASV / ASIEQ030A2WASV,Split Hi-Wall,30000.0,992.0,7.04
Electrolux,JI18F/JE18F,Split Hi-Wall,18000.0,793.0,5.5
Electrolux,JI24R/JE24R,Split Hi-Wall,24000.0,1056.0,5.5
AIRSTAGE,ASKA18KPBA/AOKA18KPBA,Split Hi-Wall,18000.0,79.1,5.53
AIRSTAGE,ASKA24CPBA/AOKA24CPBA,Split Hi-Wall,24000.0,1010.0,5.51
AIRSTAGE,ASKA24KPBA/AOKA24KPBA,Split Hi-Wall,24000.0,1016.0,5.53
HISENSE,AS-30TW2RKKVQ01E,Split Hi-Wall,30000.0,1316.0,6.05
HISENSE,AS-12UW2RLDTT00E,Split Hi-Wall,12000.0,528.0,5.8
HISENSE,AS-36UW2RKKVQ00E,Split Hi-Wall,36000.0,1600.0,5.6
VIX,AS-12TW2RLDDK03 / AS-12TW2RLD00AC,Split Hi-Wall,12000.0,510.0,5.5
HISENSE,AS-18TW2RWPMA00E/AS-18TW2RWP00C,Split Hi-Wall,18000.0,592.0,7.2
HISENSE,AS-30UW2RKZHB00E / AS-30UW2RKZ00C,Split Hi-Wall,30000.0,1038.0,7.0
HISENSE,AS-09TW2RLRCK00E / AS-09TW2RLR00C,Split Hi-Wall,9000.0,401.0,5.5
HISENSE,AS-24TW2RBWHB01E / AS-24TW2RBW01C,Split Hi-Wall,24000.0,725.0,7.5
TECHFRIO,TECHPOPIND18K / TECHPOPOUT18K,Split Hi-Wall,18000.0,820.0,5.7
LIFE,LIFE24INT / LIFE24EXT,Split Hi-Wall,24000.0,1020.0,5.9
SAMSUNG,AR12DYFACWKNAZ + AR12DYFACWKXAZ,Split Hi-Wall,11000.0,459.0,5.8
SAMSUNG,AR60F18D1AWNAZ + AR60F18D1AWKAZ,Split Hi-Wall,18000.0,681.0,6.4
SAMSUNG,AR50F24D1AHNAZ + AR50F24D1AHXAZ,Split Hi-Wall,24000.0,868.0,6.7
SAMSUNG,AR60H09C1AWNAZ + AR60H09C1AWXAZ,Split Hi-Wall,9000.0,287.0,7.62
SAMSUNG,AR60H24C1AWNAZ + AR60H24C1AWXAZ,Split Hi-Wall,23000.0,416.0,7.0
PIONEER,WA024GHFINV / AN024GHFINV,Split Hi-Wall,24000.0,1055.0,5.5
HQ,HQ-INV18000FHI / HQ-INV18000FHO,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-09TW2RLDTT00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDDB00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-12TW2RLDDB00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-18TW2RMADB02 / AS-18TW2RMA02,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-18TW2RMATG02 / AS-18TW2RMA02,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-24TW2RBBTD03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
HISENSE,AS-24TW2RBBDB03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
HISENSE,AS-24TW2RBBTG03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
HISENSE,AS-30TW2RKKVT01 / 1KK030009ZNPW5678JM0004,Split Hi-Wall,30000.0,1220.0,5.5
HISENSE,AS-12UW5RXVQH00A / AS-12UW5RXV00A,Split Hi-Wall,12000.0,299.0,8.4
PIONEER,WA030GRFINV / AN030GRFINV,Split Hi-Wall,30000.0,1220.0,5.5
HISENSE,AS-09TW2RLRCA00 / AS-09TW2RLR00,Split Hi-Wall,9000.0,387.0,5.5
HISENSE,AS-12TW2RLUHB00 / AS-12TW2RLU00,Split Hi-Wall,12000.0,411.0,7.0
TECHFRIO,ECO12IND / ECO12OUT,Split Hi-Wall,12000.0,411.0,7.0
AGRATTO,LCST24QF - 02I,Split Hi-Wall,24000.0,1056.0,5.5
Komeco,KOHI 12QC 1HV,Split Hi-Wall,12000.0,528.0,5.5
AGRATTO,KNICST9QF-02,Split Hi-Wall,9000.0,311.0,7.0
TECHFRIO,ECO24IND / ECO24OUT,Split Hi-Wall,24000.0,828.0,7.0
TECHFRIO,ECO30IND / ECO30OUT,Split Hi-Wall,30000.0,1180.0,6.5
AGRATTO,LCS18F - 02I,Split Hi-Wall,18000.0,763.0,5.5
AGRATTO,ICS18F - 02,Split Hi-Wall,18000.0,791.0,5.5
HQ,HQI18F-02,Split Hi-Wall,18000.0,763.0,5.5
AGRATTO,LCST18F - 02I,Split Hi-Wall,18000.0,792.0,5.5
AGRATTO,FICST18F-02I,Split Hi-Wall,18000.0,792.0,5.5
AGRATTO,FICST24F-02I,Split Hi-Wall,24000.0,1056.0,5.5
HQ,HQIT30F-02,Split Hi-Wall,30000.0,1320.0,5.5
HQ,HQIT18F-02,Split Hi-Wall,18000.0,792.0,5.5
AGRATTO,ZICST9F-02,Split Hi-Wall,9000.0,311.0,7.0
AGRATTO,KNICS30F- 02,Split Hi-Wall,30000.0,1036.0,7.0
HITACHI,RPK18C3IVF - RAA18C3IVF,Split Hi-Wall,18000.0,686.0,6.35
HITACHI,RPK18C3IVQ - RAA18C3IVQ,Split Hi-Wall,18000.0,688.0,6.34
HITACHI,RPK24C3IVQ - RAA24C3IVQ,Split Hi-Wall,24000.0,935.0,6.22
KENNEDY,KEN02F09INT / KEN02F09EXT,Split Hi-Wall,9000.0,340.0,7.0
KENNEDY,KEN02F18INT / KEN02F18EXT,Split Hi-Wall,18000.0,761.0,5.5
TCL,TAC-18CSA2-INV,Split Hi-Wall,18000.0,724.0,6.02
TCL,TAC-24CSA2-INV,Split Hi-Wall,24000.0,967.0,6.01
TCL,TAC-12CSGV-INV,Split Hi-Wall,12000.0,637.0,4.5
